firstName,lastName,personId,gameId,gameDate,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,fullName,game_year,birth_year,age_at_game,player_threshold,over_threshold,age_expected_points,age_expected_minutes,points_vs_age_expected,minutes_vs_age_expected,age_category,years_in_league_approx,career_stage,fg_percentage,three_point_percentage,free_throw_percentage,points_per_minute,total_shot_attempts,month,day_of_week,is_weekend
Nikola,Vucevic,202696,22500214,2025-11-12 19:00:00+00:00,Chicago,Bulls,Detroit,Pistons,,,,,False,False,25.29,6.0,3.0,0.0,0.0,10.0,3.0,0.3,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,3.0,-10.0,Nikola Vucevic,2025,,,16.84,0,,,,,,,,0.3,0.0,0.0,0.2372479240806643,10.0,11.0,2.0,0
Nikola,Jokic,203999,22500212,2025-11-11 23:00:00+00:00,Denver,Nuggets,Sacramento,Kings,,,,,True,False,32.47,35.0,7.0,0.0,2.0,19.0,16.0,0.842,2.0,1.0,0.5,3.0,2.0,0.667,10.0,5.0,15.0,3.0,3.0,11.0,Nikola Jokic,2025,,,22.01,1,,,,,,,,0.8421052631578947,0.5,0.6666666666666666,1.077918078226055,22.0,11.0,1.0,0
Buddy,Hield,1627741,22500210,2025-11-11 20:00:00+00:00,Golden State,Warriors,Oklahoma City,Thunder,,,,,False,False,11.4,4.0,4.0,0.0,2.0,3.0,1.0,0.333,2.0,0.0,0.0,3.0,2.0,0.667,0.0,0.0,0.0,2.0,2.0,-11.0,Buddy Hield,2025,,,14.61,0,,,,,,,,0.3333333333333333,0.0,0.6666666666666666,0.3508771929824561,6.0,11.0,1.0,0
Stephen,Curry,201939,22500210,2025-11-11 20:00:00+00:00,Golden State,Warriors,Oklahoma City,Thunder,,,,,False,False,19.59,11.0,0.0,0.0,1.0,13.0,4.0,0.308,5.0,1.0,0.2,3.0,2.0,0.667,1.0,0.0,1.0,5.0,1.0,-23.0,Stephen Curry,2025,,,24.6,0,,,,,,,,0.3076923076923077,0.2,0.6666666666666666,0.5615109749872383,16.0,11.0,1.0,0
Karl-Anthony,Towns,1626157,22500208,2025-11-11 19:30:00+00:00,New York,Knicks,Memphis,Grizzlies,,,,,True,True,31.4,21.0,4.0,2.0,3.0,17.0,7.0,0.412,8.0,3.0,0.375,5.0,4.0,0.8,9.0,4.0,13.0,4.0,2.0,0.0,Karl-Anthony Towns,2025,,,22.39,0,,,,,,,,0.4117647058823529,0.375,0.8,0.6687898089171975,22.0,11.0,1.0,0
Mikal,Bridges,1628969,22500208,2025-11-11 19:30:00+00:00,New York,Knicks,Memphis,Grizzlies,,,,,True,True,38.03,22.0,5.0,0.0,4.0,17.0,8.0,0.471,9.0,3.0,0.333,4.0,3.0,0.75,3.0,4.0,7.0,0.0,0.0,1.0,Mikal Bridges,2025,,,14.61,1,,,,,,,,0.47058823529411764,0.3333333333333333,0.75,0.5784906652642651,21.0,11.0,1.0,0
James,Harden,201935,22500206,2025-11-10 22:30:00+00:00,LA,Clippers,Atlanta,Hawks,,,,,False,True,38.45,35.0,11.0,2.0,0.0,23.0,12.0,0.522,14.0,6.0,0.429,6.0,5.0,0.833,7.0,3.0,10.0,0.0,6.0,0.0,James Harden,2025,,,23.58,1,,,,,,,,0.5217391304347826,0.42857142857142855,0.8333333333333334,0.9102730819245773,29.0,11.0,0.0,0
Devin,Booker,1626164,22500204,2025-11-10 21:00:00+00:00,Phoenix,Suns,New Orleans,Pelicans,,,,,True,True,26.35,19.0,3.0,0.0,1.0,13.0,8.0,0.615,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,Devin Booker,2025,,,24.35,0,,,,,,,,0.6153846153846154,0.0,1.0,0.7210626185958254,16.0,11.0,0.0,0
Rudy,Gobert,203497,22500205,2025-11-10 21:00:00+00:00,Minnesota,Timberwolves,Utah,Jazz,,,,,True,False,33.35,14.0,1.0,2.0,0.0,8.0,7.0,0.875,0.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,12.0,5.0,2.0,8.0,Rudy Gobert,2025,,,12.46,1,,,,,,,,0.875,0.0,0.0,0.4197901049475262,9.0,11.0,0.0,0
Nikola,Vucevic,202696,22500202,2025-11-10 20:00:00+00:00,Chicago,Bulls,San Antonio,Spurs,,,,,False,True,28.36,11.0,6.0,0.0,0.0,14.0,4.0,0.286,5.0,3.0,0.6,2.0,0.0,0.0,6.0,2.0,8.0,2.0,1.0,-14.0,Nikola Vucevic,2025,,,16.84,0,,,,,,,,0.2857142857142857,0.6,0.0,0.38787023977433005,16.0,11.0,0.0,0
